Squarefree monomial ideals in 5 variables up to relabeling
Total representatives: 210

1: ()   (0)
2: ((),)   (1)
3: ((1,),)   (x1)
4: ((1, 2),)   (x1*x2)
5: ((1, 2, 3),)   (x1*x2*x3)
6: ((1, 2, 3, 4),)   (x1*x2*x3*x4)
7: ((1, 2, 3, 4, 5),)   (x1*x2*x3*x4*x5)
8: ((1,), (2,))   (x1, x2)
9: ((1,), (2, 3))   (x1, x2*x3)
88: ((1, 2, 3), (1, 2, 4), (1, 3, 4), (2, 3, 4))   (x1*x2*x3, x1*x2*x4, x1*x3*x4, x2*x3*x4)
89: ((1, 2, 3), (1, 2, 4), (1, 3, 4), (1, 2, 5))   (x1*x2*x3, x1*x2*x4, x1*x3*x4, x1*x2*x5)
90: ((1, 2, 3), (1, 2, 4), (1, 3, 4), (2, 3, 5))   (x1*x2*x3, x1*x2*x4, x1*x3*x4, x2*x3*x5)
91: ((1, 2, 3), (1, 2, 4), (1, 3, 4), (2, 3, 4, 5))   (x1*x2*x3, x1*x2*x4, x1*x3*x4, x2*x3*x4*x5)
92: ((1, 2, 3), (1, 2, 4), (1, 2, 5), (3, 4, 5))   (x1*x2*x3, x1*x2*x4, x1*x2*x5, x3*x4*x5)
93: ((1, 2, 3), (1, 2, 4), (1, 2, 5), (1, 3, 4, 5))   (x1*x2*x3, x1*x2*x4, x1*x2*x5, x1*x3*x4*x5)
94: ((1, 2, 3), (1, 2, 4), (1, 3, 5), (1, 4, 5))   (x1*x2*x3, x1*x2*x4, x1*x3*x5, x1*x4*x5)
95: ((1, 2, 3), (1, 2, 4), (1, 3, 5), (2, 4, 5))   (x1*x2*x3, x1*x2*x4, x1*x3*x5, x2*x4*x5)
96: ((1, 2, 3), (1, 2, 4), (1, 3, 5), (2, 3, 4, 5))   (x1*x2*x3, x1*x2*x4, x1*x3*x5, x2*x3*x4*x5)
97: ((1, 2, 3), (1, 2, 4), (1, 3, 4, 5), (2, 3, 4, 5))   (x1*x2*x3, x1*x2*x4, x1*x3*x4*x5, x2*x3*x4*x5)
