original_index,table_type,ideal,betti_dictionary,total_betti_vector,pd,reg
121,88,"(x1*x2, x1*x3, x2*x4, x3*x5, x1*x4*x5)","{(0, 0): 1, (1, 2): 4, (1, 3): 1, (2, 3): 3, (2, 4): 3, (3, 5): 2}","(1, 5, 6, 2)",3,2
122,83,"(x1*x2, x1*x3, x2*x4, x2*x3*x5, x1*x4*x5)","{(0, 0): 1, (1, 2): 3, (1, 3): 2, (2, 3): 2, (2, 4): 4, (3, 5): 2}","(1, 5, 6, 2)",3,2
123,83,"(x1*x2, x1*x3, x2*x4, x2*x3*x5, x3*x4*x5)","{(0, 0): 1, (1, 2): 3, (1, 3): 2, (2, 3): 2, (2, 4): 4, (3, 5): 2}","(1, 5, 6, 2)",3,2
124,89,"(x1*x2, x1*x3, x2*x3*x4, x2*x3*x5, x4*x5)","{(0, 0): 1, (1, 2): 3, (1, 3): 2, (2, 3): 1, (2, 4): 6, (3, 5): 3}","(1, 5, 7, 3)",3,2
125,90,"(x1*x2, x1*x3, x2*x3*x4, x2*x3*x5, x1*x4*x5)","{(0, 0): 1, (1, 2): 2, (1, 3): 3, (2, 3): 1, (2, 4): 5, (3, 5): 2}","(1, 5, 6, 2)",3,2
126,90,"(x1*x2, x1*x3, x2*x3*x4, x2*x3*x5, x2*x4*x5)","{(0, 0): 1, (1, 2): 2, (1, 3): 3, (2, 3): 1, (2, 4): 5, (3, 5): 2}","(1, 5, 6, 2)",3,2
127,90,"(x1*x2, x1*x3, x2*x3*x4, x1*x4*x5, x2*x4*x5)","{(0, 0): 1, (1, 2): 2, (1, 3): 3, (2, 3): 1, (2, 4): 5, (3, 5): 2}","(1, 5, 6, 2)",3,2
128,90,"(x1*x2, x1*x3, x2*x3*x4, x2*x4*x5, x3*x4*x5)","{(0, 0): 1, (1, 2): 2, (1, 3): 3, (2, 3): 1, (2, 4): 5, (3, 5): 2}","(1, 5, 6, 2)",3,2
129,90,"(x1*x2, x1*x3, x1*x4*x5, x2*x4*x5, x3*x4*x5)","{(0, 0): 1, (1, 2): 2, (1, 3): 3, (2, 3): 1, (2, 4): 5, (3, 5): 2}","(1, 5, 6, 2)",3,2
130,91,"(x1*x2, x3*x4, x1*x3*x5, x2*x3*x5, x1*x4*x5)","{(0, 0): 1, (1, 2): 2, (1, 3): 3, (2, 4): 7, (3, 5): 3}","(1, 5, 7, 3)",3,2
131,92,"(x1*x2, x1*x3*x4, x2*x3*x4, x1*x3*x5, x2*x3*x5)","{(0, 0): 1, (1, 2): 1, (1, 3): 4, (2, 4): 6, (3, 5): 2}","(1, 5, 6, 2)",3,2
