table_type,count,original_indices,example_index,example_ideal,betti_dictionary,total_betti_vector,pd,reg
91,1,[130],130,"(x1*x2, x3*x4, x1*x3*x5, x2*x3*x5, x1*x4*x5)","{(0, 0): 1, (1, 2): 2, (1, 3): 3, (2, 4): 7, (3, 5): 3}","(1, 5, 7, 3)",3,2
92,6,"[131, 132, 133, 134, 135, 137]",131,"(x1*x2, x1*x3*x4, x2*x3*x4, x1*x3*x5, x2*x3*x5)","{(0, 0): 1, (1, 2): 1, (1, 3): 4, (2, 4): 6, (3, 5): 2}","(1, 5, 6, 2)",3,2
93,1,[136],136,"(x1*x2, x1*x3*x4, x1*x3*x5, x1*x4*x5, x2*x3*x4*x5)","{(0, 0): 1, (1, 2): 1, (1, 3): 3, (1, 4): 1, (2, 4): 5, (2, 5): 1, (3, 5): 2}","(1, 5, 6, 2)",3,3
94,5,"[138, 140, 141, 143, 146]",138,"(x1*x2*x3, x1*x2*x4, x1*x3*x4, x2*x3*x4, x1*x2*x5)","{(0, 0): 1, (1, 3): 5, (2, 4): 5, (3, 5): 1}","(1, 5, 5, 1)",3,2
95,1,[139],139,"(x1*x2*x3, x1*x2*x4, x1*x3*x4, x1*x2*x5, x1*x3*x5)","{(0, 0): 1, (1, 3): 5, (2, 4): 6, (3, 5): 2}","(1, 5, 6, 2)",3,2
96,2,"[142, 145]",142,"(x1*x2*x3, x1*x2*x4, x1*x3*x4, x1*x2*x5, x2*x3*x4*x5)","{(0, 0): 1, (1, 3): 4, (1, 4): 1, (2, 4): 4, (2, 5): 1, (3, 5): 1}","(1, 5, 5, 1)",3,3
97,1,[144],144,"(x1*x2*x3, x1*x2*x4, x1*x2*x5, x1*x3*x4*x5, x2*x3*x4*x5)","{(0, 0): 1, (1, 3): 3, (1, 4): 2, (2, 4): 3, (2, 5): 2, (3, 5): 1}","(1, 5, 5, 1)",3,3
98,1,[147],147,"(x1*x2*x3*x4, x1*x2*x3*x5, x1*x2*x4*x5, x1*x3*x4*x5, x2*x3*x4*x5)","{(0, 0): 1, (1, 4): 5, (2, 5): 4}","(1, 5, 4)",2,3
99,1,[148],148,"(x1, x2*x3, x2*x4, x3*x4, x2*x5, x3*x5)","{(0, 0): 1, (1, 1): 1, (1, 2): 5, (2, 3): 11, (3, 4): 8, (4, 5): 2}","(1, 6, 11, 8, 2)",4,1
100,3,"[149, 151, 155]",149,"(x1*x2, x1*x3, x2*x3, x1*x4, x2*x4, x3*x4)","{(0, 0): 1, (1, 2): 6, (2, 3): 8, (3, 4): 3}","(1, 6, 8, 3)",3,1
101,2,"[150, 163]",150,"(x1*x2, x1*x3, x2*x3, x1*x4, x2*x4, x1*x5)","{(0, 0): 1, (1, 2): 6, (2, 3): 9, (3, 4): 5, (4, 5): 1}","(1, 6, 9, 5, 1)",4,1
102,3,"[152, 156, 160]",152,"(x1*x2, x1*x3, x2*x3, x1*x4, x2*x4, x3*x4*x5)","{(0, 0): 1, (1, 2): 5, (1, 3): 1, (2, 3): 6, (2, 4): 2, (3, 4): 2, (3, 5): 1}","(1, 6, 8, 3)",3,2
103,1,[153],153,"(x1*x2, x1*x3, x2*x3, x1*x4, x1*x5, x4*x5)","{(0, 0): 1, (1, 2): 6, (2, 3): 8, (2, 4): 1, (3, 4): 4, (3, 5): 1, (4, 5): 1}","(1, 6, 9, 5, 1)",4,2
104,1,[154],154,"(x1*x2, x1*x3, x2*x3, x1*x4, x1*x5, x2*x4*x5)","{(0, 0): 1, (1, 2): 5, (1, 3): 1, (2, 3): 7, (2, 4): 2, (3, 4): 4, (3, 5): 1, (4, 5): 1}","(1, 6, 9, 5, 1)",4,2
105,3,"[157, 161, 165]",157,"(x1*x2, x1*x3, x2*x3, x1*x4, x2*x4*x5, x3*x4*x5)","{(0, 0): 1, (1, 2): 4, (1, 3): 2, (2, 3): 4, (2, 4): 4, (3, 4): 1, (3, 5): 2}","(1, 6, 8, 3)",3,2
106,2,"[158, 166]",158,"(x1*x2, x1*x3, x2*x3, x1*x4*x5, x2*x4*x5, x3*x4*x5)","{(0, 0): 1, (1, 2): 3, (1, 3): 3, (2, 3): 2, (2, 4): 6, (3, 5): 3}","(1, 6, 8, 3)",3,2
107,1,[159],159,"(x1*x2, x1*x3, x1*x4, x2*x3*x4, x1*x5, x2*x3*x5)","{(0, 0): 1, (1, 2): 4, (1, 3): 2, (2, 3): 6, (2, 4): 3, (3, 4): 4, (3, 5): 1, (4, 5): 1}","(1, 6, 9, 5, 1)",4,2
108,2,"[162, 164]",162,"(x1*x2, x1*x3, x1*x4, x2*x3*x4, x2*x3*x5, x2*x4*x5)","{(0, 0): 1, (1, 2): 3, (1, 3): 3, (2, 3): 3, (2, 4): 5, (3, 4): 1, (3, 5): 2}","(1, 6, 8, 3)",3,2
109,3,"[167, 168, 169]",167,"(x1*x2, x1*x3, x2*x3*x4, x2*x3*x5, x1*x4*x5, x2*x4*x5)","{(0, 0): 1, (1, 2): 2, (1, 3): 4, (2, 3): 1, (2, 4): 7, (3, 5): 3}","(1, 6, 8, 3)",3,2
110,1,[170],170,"(x1*x2, x3*x4, x1*x3*x5, x2*x3*x5, x1*x4*x5, x2*x4*x5)","{(0, 0): 1, (1, 2): 2, (1, 3): 4, (2, 4): 9, (3, 5): 4}","(1, 6, 9, 4)",3,2
111,4,"[171, 172, 173, 174]",171,"(x1*x2, x1*x3*x4, x2*x3*x4, x1*x3*x5, x2*x3*x5, x1*x4*x5)","{(0, 0): 1, (1, 2): 1, (1, 3): 5, (2, 4): 8, (3, 5): 3}","(1, 6, 8, 3)",3,2
112,5,"[175, 176, 178, 180, 181]",175,"(x1*x2*x3, x1*x2*x4, x1*x3*x4, x2*x3*x4, x1*x2*x5, x1*x3*x5)","{(0, 0): 1, (1, 3): 6, (2, 4): 7, (3, 5): 2}","(1, 6, 7, 2)",3,2
113,1,[177],177,"(x1*x2*x3, x1*x2*x4, x1*x3*x4, x1*x2*x5, x1*x3*x5, x1*x4*x5)","{(0, 0): 1, (1, 3): 6, (2, 4): 8, (3, 5): 3}","(1, 6, 8, 3)",3,2
114,1,[179],179,"(x1*x2*x3, x1*x2*x4, x1*x3*x4, x1*x2*x5, x1*x3*x5, x2*x3*x4*x5)","{(0, 0): 1, (1, 3): 5, (1, 4): 1, (2, 4): 6, (2, 5): 1, (3, 5): 2}","(1, 6, 7, 2)",3,3
115,1,[182],182,"(x1, x2*x3, x2*x4, x3*x4, x2*x5, x3*x5, x4*x5)","{(0, 0): 1, (1, 1): 1, (1, 2): 6, (2, 3): 14, (3, 4): 11, (4, 5): 3}","(1, 7, 14, 11, 3)",4,1
116,3,"[183, 185, 187]",183,"(x1*x2, x1*x3, x2*x3, x1*x4, x2*x4, x3*x4, x1*x5)","{(0, 0): 1, (1, 2): 7, (2, 3): 11, (3, 4): 6, (4, 5): 1}","(1, 7, 11, 6, 1)",4,1
117,1,[184],184,"(x1*x2, x1*x3, x2*x3, x1*x4, x2*x4, x1*x5, x2*x5)","{(0, 0): 1, (1, 2): 7, (2, 3): 12, (3, 4): 8, (4, 5): 2}","(1, 7, 12, 8, 2)",4,1
118,2,"[186, 190]",186,"(x1*x2, x1*x3, x2*x3, x1*x4, x2*x4, x1*x5, x3*x4*x5)","{(0, 0): 1, (1, 2): 6, (1, 3): 1, (2, 3): 9, (2, 4): 2, (3, 4): 5, (3, 5): 1, (4, 5): 1}","(1, 7, 11, 6, 1)",4,2
119,1,[188],188,"(x1*x2, x1*x3, x2*x3, x1*x4, x1*x5, x2*x4*x5, x3*x4*x5)","{(0, 0): 1, (1, 2): 5, (1, 3): 2, (2, 3): 7, (2, 4): 4, (3, 4): 4, (3, 5): 2, (4, 5): 1}","(1, 7, 11, 6, 1)",4,2
120,1,[189],189,"(x1*x2, x1*x3, x1*x4, x2*x3*x4, x1*x5, x2*x3*x5, x2*x4*x5)","{(0, 0): 1, (1, 2): 4, (1, 3): 3, (2, 3): 6, (2, 4): 5, (3, 4): 4, (3, 5): 2, (4, 5): 1}","(1, 7, 11, 6, 1)",4,2
